Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A465523,OWNER SUR,07/18/2020,PANDA,OTHER,1 YEAR 6 MONTHS,SMALL,BROWN / WHITE,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465523&location=MONT,
A448680,OWNER SUR,05/10/2020,DOOKIE,DOG,2 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448680&location=MONT,
A460425,OWNER SUR,02/08/2020,*HOKEY POKEY,OTHER,NO AGE,TOY,BROWN / YELLOW,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460425&location=MONT,
A464548,OWNER SUR,06/21/2020,OREO,OTHER,1 YEAR,SMALL,BLACK / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464548&location=MONT,
A464266,CONFISCATE,06/14/2020,SNICKERDOODLE,OTHER,1 YEAR 1 MONTH,MED,BROWN / TAN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464266&location=MONT,
A465305,OWNER SUR,07/12/2020,*KIRK,OTHER,7 WEEKS,SMALL,WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465305&location=MONT,
A465280,OWNER SUR,07/11/2020,FREETAH,OTHER,4 MONTHS,MED,BLACK / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465280&location=MONT,
A465309,OWNER SUR,07/12/2020,*SISKO,OTHER,7 WEEKS,SMALL,WHITE / BLACK,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465309&location=MONT,
A463541,OWNER SUR,05/24/2020,DASH,OTHER,1 YEAR 2 MONTHS,LARGE,TRICOLOR,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A463541&location=MONT,
A460478,OWNER SUR,02/09/2020,BANANA,OTHER,NO AGE,SMALL,GREEN,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460478&location=MONT,
A460482,OWNER SUR,02/09/2020,COOKIE,OTHER,NO AGE,SMALL,GREEN,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460482&location=MONT,
